,time,name,country,place,marathon,day,month,year,gender
16,2:20:24,Workenesh EDESA,ETH,6,Valencia,1,DEC,2019,F
17,2:20:39,Purity RIONORIPO,KEN,7,Valencia,1,DEC,2019,F
18,2:20:40,Ruti AGA,ETH,1,Tokyo,3,MAR,2019,F
19,2:20:48,Azmera GEBRU,ETH,3,Amsterdam,20,OCT,2019,F
20,2:20:51,Roza DEREJE,ETH,3,London,28,APR,2019,F
21,2:20:51,Abebel YESHANEH,ETH,2,Chicago,13,OCT,2019,F
22,2:20:52,Gladys CHERONO,KEN,4,London,28,APR,2019,F
23,2:20:55,Gelete BURKA,ETH,3,Chicago,13,OCT,2019,F
24,2:20:58,Mary KEITANY,KEN,5,London,28,APR,2019,F
25,2:21:01,Helen TOLA,ETH,2,Tokyo,3,MAR,2019,F
26,2:21:03,Besu SADO,ETH,4,Amsterdam,20,OCT,2019,F
27,2:21:05,Worknesh EDESA,ETH,3,Dubai,25,JAN,2019,F
28,2:21:05,Shure DEMISE,ETH,3,Tokyo,3,MAR,2019,F
29,2:21:06,Sally CHEPYEGO,ETH,3,Berlin,29,SEP,2019,F
30,2:21:10,Megertu KEBEDE,ETH,2,Frankfurt,27,OCT,2019,F
31,2:21:11,Vivian Jerono KIPLAGAT,KEN,1,Abu Dhabi,6,DEC,2019,F
32,2:21:22,Mimi BELETE,BRN,5,Amsterdam,20,OCT,2019,F
33,2:21:26,Bornes KITUR,KEN,1,Ljubljana,27,OCT,2019,F
34,2:21:33,Shitaye ESHETE,BRN,2,Ljubljana,27,OCT,2019,F
35,2:21:50,Florence KIPLAGAT,KEN,4,Tokyo,3,MAR,2019,F
36,2:22:07,Diana CHEMTAI,KEN,3,Lubljana,27,OCT,2019,F
37,2:22:11,Meskerem ASSEFA,ETH,3,Frankfurt,27,OCT,2019,F
38,2:22:12,Nancy KIPROP,KEN,1,Wien,7,APR,2019,F
39,2:22:16,Sarah HALL,USA,4,Berlin,29,SEP,2019,F
40,2:22:16,Magdelyne MASAI,KEN,1,Toronto,20,OCT,2019,F
41,2:22:25,Helalia JOHANNES,NAM,1,Nagoya,10,MAR,2019,F
42,2:22:25,Vivian KIPLAGAT,KEN,1,Milano,7,APR,2019,F
43,2:22:29,Abeba GEBREMNESKEL,ETH,8,Valencia,1,DEC,2019,F
44,2:22:38,Joyciline JEPKOSGEI,KEN,1,New York,3,NOV,2019,F
45,2:22:39,Shitaye ESHETE,BRN,2,Prague,5,MAY,2019,F
46,2:22:40,Biruktayit ESHETU,ETH,2,Toronto,20,OCT,2019,F
47,2:22:41,Afera GODFAY,ETH,1,Dongying,20,APR,2019,F
48,2:22:43,Betsy SAINA,KEN,3,Toronto,20,OCT,2019,F
49,2:22:45,Waganesh MEKASHA,ETH,4,Dubai,25,JAN,2019,F
50,2:22:47,Gelete BURKA,ETH,1,Paris,14,APR,2019,F
51,2:22:52,Megertu ALEMU,ETH,1,Roma,7,APR,2019,F
52,2:22:52,Azmera GEBRU,ETH,2,Paris,14,APR,2019,F
53,2:22:53,Tadelech BEKELE,ETH,9,Valencia,1,DEC,2019,F
54,2:22:55,Ashete BEKERE,ETH,1,Rotterdam,7,APR,2019,F
55,2:22:58,Visiline JEPKESHO,KEN,2,Nagoya,10,MAR,2019,F
56,2:23:01,Valary JEMELI,KEN,3,Nagoya,10,MAR,2019,F
57,2:23:08,Emily SISSON,USA,6,London,28,APR,2019,F
58,2:23:11,Lonah SALPETER,ISR,4,Frankfurt,27,OCT,2019,F
59,2:23:14,Kuftu Tahir DADISO,ETH,4,Ljubljana,27,OCT,2019,F
60,2:23:19,Waganesh MEKASHA,ETH,2,Dongying,20,APR,2019,F
61,2:23:19,Birke DEBELE,ETH,4,Toronto,20,OCT,2019,F
62,2:23:19,Yebrgual MELESE,ETH,1,Shanghai,17,NOV,2019,F
63,2:23:23,Bedatu HIRPA,ETH,5,Tokyo,3,MAR,2019,F
64,2:23:28,Biruktayit DEGEFA,ETH,1,Houston,20,JAN,2019,F
65,2:23:30,Rachel MUTGA,KEN,5,Toronto,20,OCT,2019,F
66,2:23:31,Sutume ASEFA,ETH,1,Beijing,3,NOV,2019,F
67,2:23:33,Meseret DEFAR,ETH,4,Nagoya,10,MAR,2019,F
68,2:23:32,Mary KEITANY,KEN,2,New York,3,NOV,2019,F
69,2:23:34,Stella BARSOSIO,KEN,2,Rotterdam,7,APR,2019,F
70,2:23:35,Azmera ABREHA,ETH,3,Paris,14,APR,2019,F
71,2:23:40,Hirut TIBEBU,ETH,1,Istanbul,3,NOV,2019,F
72,2:23:41,ClÃˆmence CALVIN,FRA,4,Paris,14,APR,2019,F
73,2:23:44,Desi Jisa MOKONIN,BRN,1,Seoul,17,MAR,2019,F
74,2:25:46,Rodah JEPKORIR,KEN,1,Buenos Aires,22,SEP,2019,F
75,2:23:50,Peres JEPCHIRCHIR,KEN,1,Saitama,8,DEC,2019,F
76,2:23:50,Hiwot GEBREKIDAN,ETH,1,Guangzhou,8,DEC,2019,F
77,2:23:52,Reia IWADE,JPN,5,Nagoya,10,MAR,2019,F
78,2:23:54,Sally CHEPYEGO,KEN,5,Paris,14,APR,2019,F
79,2:23:57,Melet KEJETA,GER,6,Berlin,29,SEP,2019,F
